Time,Price,Shares
01/04/2010 00:07:50.199,49.9849880667,500
01/04/2010 00:07:53.199,48.8262794037,500
01/04/2010 00:07:54.199,48.6431619253,499
01/04/2010 00:07:56.199,49.0794513686,499
01/04/2010 00:07:57.199,49.9767576926,498
01/04/2010 00:07:58.199,49.1744100476,497
01/04/2010 00:07:59.199,49.7486456326,500
01/04/2010 00:08:03.335,48.7570731198,504
01/04/2010 00:08:04.335,48.7752981364,503
01/04/2010 00:08:07.335,48.9886938462,497
01/04/2010 00:08:08.335,48.8311710521,504
01/04/2010 00:08:10.335,49.2279491811,501
01/04/2010 00:08:13.335,49.9451800189,499
01/04/2010 00:08:15.335,49.7562079592,500
01/04/2010 00:08:17.335,49.6935658207,499
01/04/2010 00:08:18.335,49.2447552468,501
01/04/2010 00:08:19.335,49.6066259933,503
01/04/2010 00:08:23.335,49.5118704127,498
01/04/2010 00:08:26.335,48.4756947269,1040
01/04/2010 00:08:28.335,47.6674345708,1040
01/04/2010 00:08:29.335,48.7633110482,1040
